Cell Line Name;Tissue;Tissue sub-type;IC50;Cell Line Name;Primary Disease;TP53 log2(TPM+1) Expression Public 22Q4;BRAF log2(TPM+1) Expression Public 22Q4;ATOX1 log2(TPM+1) Expression Public 22Q4;SLC31A1 log2(TPM+1) Expression Public 22Q4;ATP7A log2(TPM+1) Expression Public 22Q4;ATP7B log2(TPM+1) Expression Public 22Q4;Cell Line Name;disulfiram (BRD:BRD-K32744045-001-31-2) AUC Drug sensitivity AUC (PRISM Repurposing Secondary Screen)
RT4;urogenital_system;bladder;17.313711;NAMALWA;Non-Hodgkin Lymphoma;6,06;3,62;6,92;3,81;1,44;0,96;MCAS;0.701667686869716
BB49-HNC;aero_digestive_tract;head_and_neck;17.468072;TDOTT;Esophageal Squamous Cell Carcinoma;4,83;4,23;6,27;4,39;3,30;2,16;NCIH446;0.7769272799638041
NCI-H513;lung;mesothelioma;17.470936;SHMAC4;Prostate Adenocarcinoma;3,81;2,50;7,44;3,55;1,34;1,90;BFTC905;0.682498582803954
CAL-78;bone;chondrosarcoma;17.496434;NCIH2081;Lung Neuroendocrine Tumor;3,15;4,39;6,23;4,16;1,86;1,61;COLO668;0.6908245111557031
MPP-89;lung;mesothelioma;17.517158;HEC1A;Endometrial Carcinoma;6,26;3,31;7,01;4,90;1,91;2,85;NB1;0.7536029825264201
Ca-Ski;urogenital_system;cervix;17.551478;LP1;Non-Hodgkin Lymphoma;4,86;4,10;8,72;3,85;2,24;2,25;COLO679;0.6564025198215079
EM-2;blood;chronic_myeloid_leukaemia;17.640075;BT12;Embryonal Tumor;4,50;2,23;7,12;4,04;0,85;2,34;HUH28;0.6747015460844911
RL95-2;urogenital_system;endometrium;17.775584;SNU175;Colorectal Adenocarcinoma;6,59;4,34;5,27;5,74;2,18;2,92;KYSE410;0.7209260606349359
NCI-H2052;lung;mesothelioma;17.989145;H157;Head and Neck Squamous Cell Carcinoma;3,73;2,48;6,91;3,79;1,51;1,65;SKMEL30;0.80754658640571
SK-UT-1;soft_tissue;soft_tissue_other;18.080466;HCC2157;Invasive Breast Carcinoma;5,65;2,60;7,62;4,12;0,99;1,23;SKOV3;0.729489119563452
SK-MEL-1;skin;melanoma;18.156154;SNU245;Intraductal Papillary Neoplasm of the Bile Duct;6,06;3,09;6,21;4,70;2,86;2,98;COLO783;0.694245271163844
RCC-JW;kidney;kidney;18.293618;HS863T;Non-Cancerous;4,52;3,27;8,11;5,25;2,35;1,92;T3M10;0.703365338391338
SUIT-2;pancreas;pancreas;18.434037;NCIH1781;Non-Small Cell Lung Cancer;6,86;4,36;6,69;5,06;2,67;1,87;HS939T;0.731369456151262
HCC1395;breast;breast;18.482811;DOTC24510;Mixed Cervical Carcinoma;5,08;1,99;7,58;4,35;1,52;0,62;LN18;0.751533472297617
MIA-PaCa-2;pancreas;pancreas;18.486430;KMS11;Non-Hodgkin Lymphoma;1,95;4,45;7,86;4,26;2,79;2,42;SKMEL24;0.732408390733094
LS-513;digestive_system;large_intestine;18.525483;PF382;T-Lymphoblastic Leukemia/Lymphoma;5,88;4,09;5,71;3,74;2,66;2,41;KYSE140;0.6983299728229929
KMOE-2;blood;acute_myeloid_leukaemia;18.638518;MM1S;Non-Hodgkin Lymphoma;5,74;3,22;7,84;3,54;2,87;0,34;KYSE510;0.6733643151557231
AU565;breast;breast;18.720998;PSS131R;Osteosarcoma;0,00;2,33;8,04;4,30;3,42;2,30;CAL12T;0.7430289415083929
CAPAN-1;pancreas;pancreas;18.764658;TFK1;Intraductal Papillary Neoplasm of the Bile Duct;2,70;2,65;7,16;3,72;1,89;0,54;WM793;0.650732298935375
SK-GT-2;digestive_system;stomach;18.810652;JURLMK1;Myeloproliferative Neoplasms;3,33;3,91;5,33;4,43;1,14;5,91;CAL27;0.688578647432027
M14;skin;melanoma;18.830698;SLR25;Renal Cell Carcinoma;2,93;2,67;8,10;4,42;2,28;2,58;RH30;0.7111022599711869
UM-UC-3;urogenital_system;bladder;18.832553;HCC1359;Non-Small Cell Lung Cancer;5,99;3,30;7,85;4,22;1,10;0,62;UMUC1;0.679796061934183
HCC2998;digestive_system;large_intestine;18.847291;NCIH524;Lung Neuroendocrine Tumor;4,75;3,87;6,32;4,83;2,70;4,20;GCT;0.8888238656640699
Saos-2;bone;osteosarcoma;18.911696;CMK;Acute Myeloid Leukemia;5,06;2,97;5,42;4,06;3,48;6,46;YD15;0.7793103223849399
SJRH30;soft_tissue;rhabdomyosarcoma;19.214883;CALU1;Non-Small Cell Lung Cancer;1,75;3,21;7,53;4,29;2,15;0,97;NCIH322;0.770892019061893
Calu-6;lung;lung_NSCLC_adenocarcinoma;19.466935;MC116;Non-Hodgkin Lymphoma;6,59;3,62;7,26;3,55;1,56;0,10;SCABER;0.7050607099968008
NCI-H1299;lung;lung_NSCLC_large_cell;19.551791;YD15;Head and Neck Squamous Cell Carcinoma;5,47;3,25;7,45;3,87;1,45;1,12;NCIH2087;0.779369428778982
GI-ME-N;nervous_system;neuroblastoma;19.964268;HCC2450;Non-Small Cell Lung Cancer;6,62;3,03;7,88;5,18;2,27;3,29;SW480;0.665504882940378
SH-4;skin;melanoma;20.081157;NCIH3255;Non-Small Cell Lung Cancer;3,22;4,39;5,89;5,10;2,29;1,13;HARA;0.668268511534698
HARA;lung;lung_NSCLC_squamous_cell_carcinoma;20.159964;HCC56;Colorectal Adenocarcinoma;5,71;2,73;6,80;4,45;1,54;2,92;NCIH1373;0.768811887321995
NB1;nervous_system;neuroblastoma;20.177446;HCC1833;Non-Small Cell Lung Cancer;5,15;3,27;5,58;4,20;1,63;0,86;FADU;0.710063592162019
NCI-H522;lung;lung_NSCLC_adenocarcinoma;20.215666;HUH6;Hepatoblastoma;4,85;3,21;7,15;4,62;0,70;3,56;HGC27;0.6837277534670889
SK-MEL-24;skin;melanoma;20.245774;NCIH1184;Lung Neuroendocrine Tumor;6,68;4,27;6,14;4,18;2,94;3,71;JHH7;0.7014491580010611
A549;lung;lung_NSCLC_adenocarcinoma;20.252485;COLO684;Endometrial Carcinoma;2,33;3,94;6,25;4,23;1,58;2,97;MDAMB468;0.6613247350101601
EMC-BAC-2;lung;lung_NSCLC_adenocarcinoma;20.272890;TE14;Esophageal Squamous Cell Carcinoma;3,69;2,97;5,17;4,75;2,17;2,23;NCIH1435;0.801849920043861
LS-180;digestive_system;large_intestine;20.374060;CHP126;Neuroblastoma;5,57;4,30;5,60;4,36;4,92;2,77;NCIH661;0.7178135179256261
FLO-1;aero_digestive_tract;oesophagus;20.479617;NOS1;Osteosarcoma;5,77;2,90;7,56;4,90;2,12;1,20;KYSE150;0.8771223744382409
CAL-54;kidney;kidney;20.484530;CA46;Non-Hodgkin Lymphoma;6,61;5,20;5,96;3,55;2,48;1,84;CAL51;0.6757425763780249
SNU-1;digestive_system;stomach;20.501884;C99;Colorectal Adenocarcinoma;3,89;1,97;7,26;3,59;1,20;2,28;KNS62;0.6900696181649879
OACM5-1;aero_digestive_tract;oesophagus;20.855507;SW1271;Lung Neuroendocrine Tumor;6,82;3,41;8,90;4,50;0,99;4,50;NCIH358;0.8001919101369479
LCLC-97TM1;lung;lung_NSCLC_large_cell;20.867405;UPCISCC040;Head and Neck Squamous Cell Carcinoma;5,67;1,87;7,13;3,69;1,30;1,70;KMBC2;0.6810413476543971
COLO-679;skin;melanoma;20.930264;GOS3;Diffuse Glioma;6,05;3,41;7,03;4,88;2,52;2,87;DBTRG05MG;0.6933936127706272
U-266;blood;myeloma;20.964628;HCC78;Non-Small Cell Lung Cancer;4,33;2,52;7,40;3,52;1,02;0,42;NCIH1048;0.8163899738148191
NCI-H835;lung;lung_NSCLC_carcinoid;21.083246;SJSA1;Osteosarcoma;5,92;3,03;7,89;4,11;3,47;1,93;HCC1195;0.7681600021107879
LC-1-sq;lung;lung_NSCLC_squamous_cell_carcinoma;21.084065;TANOUE;B-Lymphoblastic Leukemia/Lymphoma;6,09;2,87;7,17;4,06;1,32;0,54;NCIH1568;0.631165751807245
L-1236;blood;Hodgkin_lymphoma;21.434656;UMUC1;Bladder Urothelial Carcinoma;5,91;2,69;6,43;4,51;2,54;1,43;KYSE270;0.6577413949661861
NB7;nervous_system;neuroblastoma;21.595721;RCM1;Colorectal Adenocarcinoma;3,07;3,02;7,19;3,64;2,09;3,08;NCIH2347;0.754190380670171
MRK-nu-1;breast;breast;21.647027;MESSA;Uterine Sarcoma/Mesenchymal;6,16;3,42;7,65;5,21;1,37;3,18;HCC15;0.6978666407075981
KP-4;pancreas;pancreas;21.735897;NCIH2196;Lung Neuroendocrine Tumor;5,30;4,07;6,71;4,84;3,11;5,03;MFE296;0.7463133930229059
DU-145;urogenital_system;prostate;21.957899;TN2;Neuroblastoma;5,28;3,51;6,00;3,78;2,82;2,13;AGS;0.706755604996494
SK-LU-1;lung;lung_NSCLC_adenocarcinoma;22.118712;P31FUJ;Acute Myeloid Leukemia;5,82;4,59;6,45;4,89;1,72;3,12;MELJUSO;0.6952917147317839
JHH-4;digestive_system;liver;22.240669;NCIH854;Colorectal Adenocarcinoma;5,70;3,65;5,38;3,64;1,63;3,00;IGR1;0.772443490429955
HDLM-2;blood;Hodgkin_lymphoma;22.292926;KE39;Esophagogastric Adenocarcinoma;5,45;3,54;6,70;4,09;2,76;2,13;MDAMB435S;0.885906796772861
JJN-3;blood;haematopoietic_neoplasm_other;22.381201;HCC4006;Non-Small Cell Lung Cancer;6,44;3,07;7,13;4,68;3,42;1,38;TOV21G;0.680515514204908
IGR-37;skin;melanoma;22.392842;PATU8988S;Pancreatic Adenocarcinoma;5,55;2,64;6,12;4,09;1,66;3,20;NCIH2009;0.7380479451196079
SK-MM-2;blood;myeloma;22.532402;SUSA;Non-Seminomatous Germ Cell Tumor;5,26;2,61;5,94;2,77;0,86;1,52;NCIH1793;0.763585688350598
LU-139;lung;lung_small_cell_carcinoma;22.651138;DB;Non-Hodgkin Lymphoma;6,64;4,45;7,36;3,21;3,50;0,33;SW1271;0.6958212480667191
MHH-PREB-1;blood;B_cell_leukemia;23.164326;HCC1143;Invasive Breast Carcinoma;7,27;2,86;6,96;4,00;3,00;1,62;HCC1438;0.7013719292814721
RERF-GC-1B;digestive_system;stomach;23.434115;PEER;T-Lymphoblastic Leukemia/Lymphoma;5,62;3,86;5,48;2,95;1,79;0,90;NCIH1563;0.725486674336966
OCUB-M;breast;breast;23.549514;SNU520;Esophagogastric Adenocarcinoma;5,50;4,35;6,76;5,59;2,52;4,89;NCIH1651;0.7030076570815
OE33;aero_digestive_tract;oesophagus;23.659445;A375SKINCJ3;Melanoma;4,77;3,72;8,81;4,74;2,09;1,28;CL34;0.810390190928977
TE-5;aero_digestive_tract;oesophagus;23.712108;FUOV1;Ovarian Epithelial Tumor;6,42;3,18;7,64;3,53;1,91;2,14;647V;0.765849435472652
C3A;digestive_system;liver;23.957626;HS578T;Invasive Breast Carcinoma;5,46;3,47;7,37;5,25;1,86;2,13;FTC238;0.8456652444433441
PFSK-1;nervous_system;medulloblastoma;24.034966;RVH421SKINFV1;Melanoma;4,40;2,89;8,46;4,25;0,95;1,76;SNU719;0.6842620990665129
ESO26;aero_digestive_tract;oesophagus;24.175622;OVMANA;Ovarian Epithelial Tumor;1,90;1,74;5,29;2,15;0,90;2,91;WM88;0.7848425068747992
NCI-H520;lung;lung_NSCLC_squamous_cell_carcinoma;24.366619;HCC2108;Non-Small Cell Lung Cancer;4,92;3,11;7,28;3,97;1,98;1,96;NCIH23;0.700267387302569
Detroit562;aero_digestive_tract;head_and_neck;24.395214;U118MG;Diffuse Glioma;5,04;3,35;8,03;4,42;2,32;0,31;HCC1359;0.699845749793558
LK-2;lung;lung_NSCLC_squamous_cell_carcinoma;24.486183;DERL2;Non-Hodgkin Lymphoma;6,64;3,59;5,98;2,78;2,52;0,70;FTC133;0.8021995846107071
BE2-M17;nervous_system;neuroblastoma;24.516697;TYKNU;Ovarian Epithelial Tumor;4,82;3,57;8,38;3,67;1,84;2,05;5637;0.702737972011697
HGC-27;digestive_system;stomach;24.625325;CHL1DM;Melanoma;4,65;3,24;7,55;4,38;3,98;1,84;ES2;0.7010908227695289
KALS-1;nervous_system;glioma;24.643304;NO36;Pleural Mesothelioma;6,74;2,36;6,93;5,23;2,38;3,08;JHUEM2;0.7196707214611171
NCCIT;urogenital_system;testis;24.678814;SNU626;Diffuse Glioma;6,08;3,55;7,27;5,06;2,94;2,39;NUGC3;0.7080234883359191
U-87-MG;nervous_system;glioma;24.787699;PEO1;Ovarian Epithelial Tumor;4,53;3,20;6,85;2,34;0,59;1,14;ESS1;0.7188779672015
GP5d;digestive_system;large_intestine;24.839972;SW1088;Diffuse Glioma;5,74;3,68;8,39;4,92;2,97;1,77;IPC298;0.769450795700948
BPH-1;urogenital_system;prostate;25.190862;KO52;Acute Myeloid Leukemia;5,29;2,33;6,13;3,02;1,82;1,40;NCIH1573;0.7860198906355691
SK-N-FI;nervous_system;neuroblastoma;25.786870;SUM185PE;Invasive Breast Carcinoma;1,82;2,14;6,87;3,12;0,87;1,74;TE4;0.730586287900992
KYSE-150;aero_digestive_tract;oesophagus;25.793165;BICR16;Head and Neck Squamous Cell Carcinoma;2,94;2,56;6,91;4,78;1,20;1,30;IM95;0.663639391459389
CAL-29;urogenital_system;bladder;26.525918;LN215;Diffuse Glioma;6,35;3,40;7,85;4,75;3,39;2,41;NCIH157DM;0.743774921765647
HCT-15;digestive_system;large_intestine;26.714502;NCIH747;Colorectal Adenocarcinoma;6,06;3,08;7,65;4,64;1,90;0,70;NCIH2172;0.732841507779147
RH-41;soft_tissue;rhabdomyosarcoma;26.725444;SKCO1;Colorectal Adenocarcinoma;5,64;3,26;5,88;3,34;2,42;2,18;HT55;0.7369129672088879
TE-9;aero_digestive_tract;oesophagus;26.831286;HS819T;Non-Cancerous;4,79;2,96;7,82;5,68;2,13;1,45;BT474;0.733396188744195
GCT;soft_tissue;soft_tissue_other;27.752354;TE10;Esophageal Squamous Cell Carcinoma;4,90;2,37;7,47;2,98;1,43;0,62;NCIH2110;0.6397609813487829
LNCaP-Clone-FGC;urogenital_system;prostate;27.865814;TC138;Ewing Sarcoma;6,72;3,62;7,38;3,78;2,39;2,61;EFO27;0.796355224774823
KARPAS-422;blood;B_cell_lymphoma;27.972976;JHUEM1;Endometrial Carcinoma;5,60;2,94;6,73;4,78;1,17;3,83;SKUT1;0.686382342528965
UACC-893;breast;breast;27.977436;NCIH1651;Non-Small Cell Lung Cancer;6,10;3,76;7,85;4,36;2,32;2,33;AN3CA;0.676254921551489
DOK;aero_digestive_tract;head_and_neck;28.193517;KMM1;Non-Hodgkin Lymphoma;4,27;4,63;9,40;4,59;3,01;2,32;HEC1B;0.689977616292147
DMS-53;lung;lung_small_cell_carcinoma;28.277143;HS695T;Melanoma;6,10;3,61;8,04;3,81;1,74;1,56;RKO;0.766806633458986
ME-1;blood;acute_myeloid_leukaemia;28.483224;ONDA8;Diffuse Glioma;7,04;2,85;8,73;5,50;2,92;0,52;NCIH650;0.8429775487585061
G-361;skin;melanoma;28.636302;SNU601;Esophagogastric Adenocarcinoma;6,52;2,86;6,76;3,91;1,85;2,03;HEC265;0.8517601289644731
SNU-C5;digestive_system;large_intestine;28.775727;MDAMB415;Invasive Breast Carcinoma;5,46;3,01;8,25;3,28;2,27;4,23;OVK18;0.639862293644296
CA46;blood;Burkitt_lymphoma;28.966452;UW228;Embryonal Tumor;6,10;2,63;7,91;5,10;3,62;1,41;2313287;0.677449423664933
KM12;digestive_system;large_intestine;29.123911;OCIM2;Acute Myeloid Leukemia;5,24;2,60;7,86;3,16;1,51;4,84;LOVO;0.6787091131494599
22RV1;urogenital_system;prostate;29.161866;PANC0403;Pancreatic Adenocarcinoma;4,97;2,85;7,68;4,03;1,17;0,50;HEC1A;0.6859002474556519
UMC-11;lung;lung_NSCLC_carcinoid;29.488881;T84;Colorectal Adenocarcinoma;3,19;2,81;6,53;4,23;2,53;1,58;SNU407;0.7207027096349241
EJM;blood;lymphoid_neoplasm_other;29.643643;NALM16;B-Lymphoblastic Leukemia/Lymphoma;4,81;3,56;6,38;3,76;2,30;1,60;22RV1;0.7620309236758649
MLMA;blood;hairy_cell_leukaemia;29.743386;COGN278;Neuroblastoma;5,82;2,60;7,57;5,25;4,67;2,73;LS180;0.776601476226604
CAL-72;bone;osteosarcoma;29.868027;OCIMY5;Non-Hodgkin Lymphoma;3,95;2,83;7,42;3,45;2,36;2,42;SNUC4;0.751597354173328
DG-75;blood;Burkitt_lymphoma;29.939540;CORL311;Lung Neuroendocrine Tumor;5,55;3,36;5,97;4,41;2,00;1,97;ISHIKAWAHERAKLIO02ER;0.82552693445391
Caov-4;urogenital_system;ovary;30.025904;SNU489;Diffuse Glioma;4,54;3,47;7,81;5,25;2,70;1,77;OC314;0.795247098249965
LoVo;digestive_system;large_intestine;30.372847;ISTMES1;Pleural Mesothelioma;6,40;2,53;8,23;3,71;1,04;3,23;RL952;0.62812331446794
Becker;nervous_system;glioma;30.421408;HCC70;Invasive Breast Carcinoma;5,65;3,50;6,68;4,99;3,64;0,49;IGROV1;0.6719321426378261
SW620;digestive_system;large_intestine;31.077309;HS274T;Non-Cancerous;5,11;3,05;7,90;5,21;2,47;3,50;SNUC2A;0.724528929863789
SK-N-AS;nervous_system;neuroblastoma;31.206662;NCIH2172;Non-Small Cell Lung Cancer;3,43;2,98;6,38;5,11;1,96;2,77;COLO792;0.672050137266604
KNS-62;lung;lung_NSCLC_squamous_cell_carcinoma;31.282740;BLUE1;Non-Hodgkin Lymphoma;6,24;2,94;6,38;3,05;1,16;0,14;SNUC5;0.79941823274774
HT-144;skin;melanoma;31.460849;OUMS23;Colorectal Adenocarcinoma;6,04;3,60;6,92;5,58;1,57;3,68;HCT116;0.704112922536647
OVISE;urogenital_system;ovary;31.799690;CAOV3;Ovarian Epithelial Tumor;1,92;3,34;7,50;4,66;1,91;1,58;HEC151;0.70788572564714
C-4-I;urogenital_system;cervix;32.015544;MS751;Cervical Squamous Cell Carcinoma;4,78;2,57;7,58;3,64;0,97;0,26;639V;0.764105650938059
SW948;digestive_system;large_intestine;32.147853;SF539;Diffuse Glioma;4,12;2,61;7,53;5,24;2,43;0,56;SNGM;0.8428747656412959
DMS-114;lung;lung_small_cell_carcinoma;32.269705;CAL72;Osteosarcoma;0,24;2,68;8,67;6,32;1,99;1,21;HUCCT1;0.733118078085361
K-562;blood;chronic_myeloid_leukaemia;32.835045;OCILY7;Non-Hodgkin Lymphoma;6,94;3,15;7,27;3,00;1,53;0,20;LNCAPCLONEFGC;0.6831025727257021
SAT;aero_digestive_tract;head_and_neck;33.059899;NCIH211;Lung Neuroendocrine Tumor;5,32;4,06;6,57;4,57;2,64;2,56;EN;0.659969401700911
ETK-1;digestive_system;biliary_tract;33.501713;NCIH2073;Non-Small Cell Lung Cancer;4,73;2,39;6,47;3,65;0,86;0,90;DU145;0.8052744850234901
PANC-03-27;pancreas;pancreas;33.528777;SQ1;Non-Small Cell Lung Cancer;3,45;2,81;7,06;2,73;2,09;0,36;GP2D;0.7398662537500129
H-EMC-SS;bone;chondrosarcoma;33.569164;MUTZ3;Acute Myeloid Leukemia;6,80;4,37;5,74;3,54;2,52;0,87;HEC6;0.7103303428223381
huH-1;digestive_system;liver;33.696585;HPAFII;Pancreatic Adenocarcinoma;4,33;2,36;7,51;3,57;2,23;0,74;LS411N;0.687998037290708
UACC-812;breast;breast;33.741252;SKHEP1;Hepatocellular Carcinoma;5,67;2,99;7,87;3,05;1,29;2,70;MEWO;0.762354692231874
NCI-H2009;lung;lung_NSCLC_adenocarcinoma;33.988674;RMGI;Ovarian Epithelial Tumor;3,40;2,44;6,52;4,58;0,44;4,22;MFE319;0.963489600484807
SW13;kidney;adrenal_gland;34.342355;SUM52PE;Invasive Breast Carcinoma;2,86;1,52;7,62;4,38;1,55;0,99;HEC108;0.824753979579379
MKN1;digestive_system;stomach;34.568501;ICC8;Intraductal Papillary Neoplasm of the Bile Duct;4,85;2,45;8,05;3,43;1,53;0,79;SNU81;0.812392732544311
CPC-N;lung;lung_small_cell_carcinoma;34.952285;HCC461;Non-Small Cell Lung Cancer;2,08;2,36;7,35;3,57;1,38;1,86;HEC59;0.7145784734549521
MS751;urogenital_system;cervix;35.139808;RMSYM;Rhabdomyosarcoma;5,30;2,62;6,99;3,83;1,74;0,73;HEC251;0.7678728457513051
PC-14;lung;lung_NSCLC_adenocarcinoma;36.171171;PL21;Acute Myeloid Leukemia;4,89;3,34;5,25;4,44;1,17;0,72;HCT15;0.78677832200794
GAK;skin;melanoma;36.173763;NCIH810;Non-Small Cell Lung Cancer;3,16;3,18;6,69;4,55;1,44;1,51;BECKER;0.7526620830781929
NB12;nervous_system;neuroblastoma;36.311971;HS739T;Non-Cancerous;5,49;3,09;7,54;4,97;2,05;2,15;CHL1;0.6856335225788011
BT-20;breast;breast;36.793870;TO175T;Non-Cancerous;4,73;3,20;7,58;4,81;2,39;2,62;NCIH292;0.7600472083041879
NCI-H1993;lung;lung_NSCLC_adenocarcinoma;37.859755;HS839T;Non-Cancerous;4,58;3,04;7,67;4,79;2,00;1,34;LC1SQSF;0.660120542352514
ES6;bone;ewings_sarcoma;38.250808;LN382;Diffuse Glioma;6,00;3,41;7,12;4,94;3,28;0,90;OC316;0.709974802287263
OE21;aero_digestive_tract;oesophagus;38.438312;143B;Osteosarcoma;6,13;2,10;7,82;4,26;0,77;1,12;SKMEL2;0.727017135696753
SKG-IIIa;urogenital_system;cervix;38.596945;SNU685;Endometrial Carcinoma;4,16;2,82;6,66;3,99;2,23;2,13;WM2664;0.7359727486224821
SNU-423;digestive_system;liver;38.598134;HOUAI;Endometrial Carcinoma;4,90;1,62;6,56;3,91;0,62;4,05;8305C;0.766757781677806
LN-18;nervous_system;glioma;38.822387;MTA;T-Lymphoblastic Leukemia/Lymphoma;4,78;3,26;6,15;2,46;2,99;1,50;8505C;0.721098807817265
HT-1197;urogenital_system;bladder;39.114110;BIN67;Ovarian Epithelial Tumor;4,99;3,35;7,17;3,95;2,03;3,10;PLCPRF5;0.7733356084254921
PEO1;urogenital_system;ovary;39.171280;MHHCALL3;B-Lymphoblastic Leukemia/Lymphoma;7,08;4,22;5,59;4,22;1,79;0,29;TT;0.768879146953537
KP-1N;pancreas;pancreas;40.052627;VP229;Invasive Breast Carcinoma;5,87;1,99;7,41;3,33;1,40;1,18;;
OSC-20;aero_digestive_tract;head_and_neck;40.289033;OELE;Non-Cancerous;5,60;2,89;7,42;4,44;1,67;1,99;;
UACC-62;skin;melanoma;40.344333;KYSE450;Esophageal Squamous Cell Carcinoma;7,16;3,68;6,83;5,14;1,23;2,22;;
CHL-1;skin;melanoma;41.232286;ME1;Acute Myeloid Leukemia;3,31;2,73;6,73;2,70;1,20;1,79;;
CFPAC-1;pancreas;pancreas;41.387859;HSC1;Cutaneous Squamous Cell Carcinoma;6,11;2,26;8,18;5,61;1,84;1,83;;
SJSA-1;bone;bone_other;41.711103;OPM2;Non-Hodgkin Lymphoma;6,11;4,65;6,84;5,01;2,90;2,11;;
DiFi;digestive_system;large_intestine;41.886776;NUGC4;Esophagogastric Adenocarcinoma;5,84;2,89;6,39;3,93;2,04;1,94;;
OS-RC-2;kidney;kidney;42.075390;SBC5;Lung Neuroendocrine Tumor;5,26;3,65;7,42;4,37;2,38;2,62;;
HMV-II;skin;melanoma;42.206543;PATU8902;Pancreatic Adenocarcinoma;6,76;2,74;6,80;4,08;1,19;1,79;;
SW1990;pancreas;pancreas;42.850602;KASUMI1;Acute Myeloid Leukemia;4,87;3,41;6,75;2,92;0,90;2,50;;
MDA-MB-231;breast;breast;43.147015;SNU5;Esophagogastric Adenocarcinoma;4,66;2,55;7,17;5,23;1,38;1,31;;
NCI-H596;lung;lung_NSCLC_adenocarcinoma;43.212130;MCC142;Merkel Cell Carcinoma;6,73;2,50;7,89;4,15;1,93;1,71;;
LU-65;lung;lung_NSCLC_large_cell;43.409918;KATOIII;Esophagogastric Adenocarcinoma;0,25;3,41;6,08;5,29;2,45;2,99;;
MEL-JUSO;skin;melanoma;43.433920;M140325;Melanoma;5,39;4,01;9,10;4,46;2,87;1,17;;
CHSA8926;bone;chondrosarcoma;43.821593;SNU1033;Colorectal Adenocarcinoma;5,67;2,69;6,73;4,22;0,49;1,53;;
OE19;aero_digestive_tract;oesophagus;43.890090;KMRC20;Renal Cell Carcinoma;2,56;4,24;7,12;5,81;1,96;1,42;;
HOP-92;lung;lung_NSCLC_large_cell;43.890366;HNT34;Acute Myeloid Leukemia;6,46;3,30;6,18;3,07;1,24;0,33;;
TE-4;aero_digestive_tract;oesophagus;44.726730;PANC0327;Pancreatic Adenocarcinoma;4,38;2,44;7,08;3,82;1,28;1,01;;
G-292-Clone-A141B1;bone;osteosarcoma;45.358975;SEMK2;B-Lymphoblastic Leukemia/Lymphoma;5,89;3,54;5,19;2,94;1,15;0,33;;
TE-1;aero_digestive_tract;oesophagus;45.443934;SUM1315MO2;Invasive Breast Carcinoma;5,89;3,11;8,15;4,31;2,06;2,35;;
PL4;pancreas;pancreas;45.494959;RT11284;Bladder Urothelial Carcinoma;5,41;2,74;7,50;4,73;2,11;1,92;;
NCI-H3122;lung;lung_NSCLC_adenocarcinoma;45.725755;K562;Myeloproliferative Neoplasms;3,66;4,03;6,69;6,30;2,87;3,29;;
RD;soft_tissue;rhabdomyosarcoma;46.866049;CCLFPEDS0001T;Renal Cell Carcinoma;6,20;3,17;7,29;5,09;2,62;1,88;;
SW780;urogenital_system;bladder;47.145929;S117;Sarcoma, NOS;2,37;2,58;7,34;3,60;2,10;0,81;;
CAL-62;thyroid;thyroid;47.410925;NCIH1623;Non-Small Cell Lung Cancer;4,82;3,47;6,02;3,78;2,13;0,86;;
NCI-H1915;lung;lung_NSCLC_large_cell;47.799002;SNU449;Hepatocellular Carcinoma;5,46;2,97;6,72;4,60;2,66;1,75;;
OVCAR-3;urogenital_system;ovary;48.159322;OCIAML3;Acute Myeloid Leukemia;6,44;3,94;6,16;4,31;1,20;0,37;;
VCaP;urogenital_system;prostate;48.175185;KU1919;Bladder Urothelial Carcinoma;4,48;3,16;7,12;4,06;1,68;2,06;;
CCK-81;digestive_system;large_intestine;48.570874;OE19;Esophageal Squamous Cell Carcinoma;3,61;2,99;5,97;6,08;2,97;3,10;;
BICR78;aero_digestive_tract;head_and_neck;49.697587;MERO41;Pleural Mesothelioma;5,21;3,18;7,97;4,79;3,35;1,46;;
T84;digestive_system;large_intestine;49.825940;OCUM1;Esophagogastric Adenocarcinoma;5,87;2,95;6,47;4,09;1,70;4,28;;
MSTO-211H;lung;mesothelioma;49.957341;OVK18;Ovarian Epithelial Tumor;5,45;3,24;7,39;5,34;2,38;4,03;;
KYSE-450;aero_digestive_tract;oesophagus;50.293984;SNU738;Diffuse Glioma;3,10;3,01;7,25;4,09;1,51;4,86;;
CL-11;digestive_system;large_intestine;50.523458;JHH4;Hepatocellular Carcinoma;5,24;2,69;7,38;3,17;1,24;0,77;;
HCC2157;breast;breast;50.940002;NCIH2171;Lung Neuroendocrine Tumor;4,54;3,98;6,05;4,47;1,57;4,59;;
GAMG;nervous_system;glioma;51.006823;OCILY132;Non-Hodgkin Lymphoma;2,76;3,55;6,79;3,54;2,73;0,95;;
PANC-10-05;pancreas;pancreas;51.089932;NCIH661;Non-Small Cell Lung Cancer;5,50;3,70;7,34;4,14;2,98;4,02;;
NCI-H841;lung;lung_small_cell_carcinoma;51.318701;HS281T;Non-Cancerous;4,55;3,07;7,85;4,91;2,00;1,85;;
NCI-H322M;lung;lung_NSCLC_adenocarcinoma;51.606005;KNS81;Diffuse Glioma;6,36;3,50;7,20;5,25;2,52;1,40;;
